zonder	met-e	ook_N
Fries	Friese	ze
-	functie	
Gabonees	Gabonese	ze
-	galerie	
Gambiaans	Gambiaanse	ze
-	game	
-	gekte	
Gelders	Gelderse	ze
-	gemeente	
-	genote	
Gents	Gentse	e
Genuees	Genuese	ze
Georgisch	Georgische	ze
-	gevangene	
Ghanees	Ghanese	ze
Gibraltarees	Gibraltarese	ze
-	globe	
-	glorie	
-	goalie	
Grenadaans	Grenadaanse	ze
Grieks	Griekse	ze
Groenlands	Groenlandse	ze
Gronings	Groningse	ze
Guadeloups	Guadeloupse	e
Guamees	Guamese	ze
Guatemalaans	Guatemalaanse	e
Guinee-Bissaus	Guinee-Bissause	e
Guinees	Guineese	e
Guinees	Guinese	ze
Guyaans	Guyaanse	e
Haags	Haagse	e
Haarlems	Haarlemse	e
Haïtiaans	Haïtiaanse	ze
Hanois	Hanoise	e
Haspengouws	Haspengouwse	e
Hasselts	Hasseltse	e
Havanees	Havanese	ze
Hebridiaans	Hebridiaanse	e
-	heide	
Helsinkisch	Helsinkische	e
Henegouws	Henegouwse	e
-	Hilton-erfgename	
Hilversums	Hilversumse	e
-	historie	
Hollands	Hollandse	ze
Hondurees	Hondurese	e
Hongaars	Hongaarse	ze
Hongkongs	Hongkongse	e
-	hoogte	
-	hype	
Iberisch	Iberische	ze
-	ideologie	
Iers	Ierse	ze
IJslands	IJslandse	ze
-	imitatie	
Indiaans	Indiaanse	e
Indiaas	Indiase	e
-	indicatie	
Indisch	Indische	e
Indonesisch	Indonesische	ze
-	infectie	
-	informatie	
-	installatie	
-	integratie	
-	Internationale	
Iraaks	Iraakse	e
Iraans	Iraanse	ze
-	IS-betrokkene	
Israëlisch	Israëlische	e
Italiaans	Italiaanse	ze
Ivoriaans	Ivoriaanse	e
Jakartaans	Jakartaanse	e
Jamaicaans	Jamaicaanse	e
Japans	Japanse	ze
Javaans	Javaanse	ze
Jemenitisch	Jemenitische	e
Jeruzalems	Jeruzalemse	e
Joegoslavisch	Joegoslavische	e
Jordaans	Jordaanse	e
Jordanees	Jordanese	ze
Jutlands	Jutlandse	ze
Kaapstads	Kaapstadse	e
Kaapverdisch	Kaapverdische	ze
Kabuls	Kabulse	e
-	kade	
-	kade	
Kameroens	Kameroense	e
-	kampioene	
-	kandidate	
Kantonees	Kantonese	ze
Karinthisch	Karinthische	e
Kasjmirs	Kasjmirse	e
-	Katherine	
Kaukasisch	Kaukasische	e
Kazachs	Kazachse	ze
-	kazerne	
Kempens	Kempense	e
Keniaans	Keniaanse	ze
Keuls	Keulse	e
-	keuze	
Khartoems	Khartoemse	e
Kirgizisch	Kirgizische	ze
Kiribatisch	Kiribatische	ze
-	klasse	
Koerdisch	Koerdische	ze
Koeweits	Koeweitse	e
Kopenhaags	Kopenhaagse	e
Koreaans	Koreaanse	ze
Korfiotisch	Korfiotische	ze
Korinthisch	Korinthische	e
Kosovaars	Kosovaarse	e
Kretenzisch	Kretenzische	e
Krims	Krimse	e
Kroatisch	Kroatische	ze
-	kwalificatie	
-	kwestie	
Laotiaans	Laotiaanse	ze
Lapaceens	Lapaceense	e
Laplands	Laplandse	e
-	league	
Leeuwardens	Leeuwardense	e
-	legende	
Leids	Leidse	e
Lelystads	Lelystadse	e
-	Leonie	
-	Leontine	
lesbisch	lesbische	
Lesbisch	Lesbische	e
Lesothaans	Lesothaanse	e
-	Lesse	
Lets	Letse	ze
Leuvens	Leuvense	e
Libanees	Libanese	ze
Liberiaans	Liberiaanse	e
Libisch	Libische	ze
-	licentie	
Liechtensteins	Liechtensteinse	e
Ligurisch	Ligurische	ze
Limaas	Limase	e
Limburgs	Limburgse	ze
-	liquidatie	
Lissabons	Lissabonse	e
Litouws	Litouwse	ze
-	locatie	
-	Lockerbie	
Lombardijs	Lombardijse	e
Londens	Londense	e
Lotharings	Lotharingse	ze
Luandees	Luandese	ze
Luiks	Luikse	e
Luxemburgs	Luxemburgse	ze
Maastrichts	Maastrichtse	e
Macaus	Macause	e
Macedonisch	Macedonische	ze
-	machine	
Madagaskisch	Madagaskische	e
Madoerees	Madoerese	ze
Madrileens	Madrileense	e
Malagassisch	Malagassische	e
Malawisch	Malawische	ze
Maldivisch	Maldivische	ze
Maleisisch	Maleisische	ze
Malisch	Malische	e
Mallorcaans	Mallorcaanse	e
Maltees	Maltese	ze
Manilleens	Manilleense	e
Mantuaans	Mantuaanse	ze
Mariaans	Mariaanse	e
Marokkaans	Marokkaanse	ze
Marshalleilands	Marshalleilandse	e
Martinikaans	Martinikaanse	e
Mauritanisch	Mauritanische	e
Mauritiaans	Mauritiaanse	ze
-	medaille	
-	medicatie	
Mekkaans	Mekkaanse	e
Melanesisch	Melanesische	e
Mesopotamisch	Mesopotamische	e
-	methode	
Mexicaans	Mexicaanse	e
Micronesisch	Micronesische	e
Middelburgs	Middelburgse	e
Milanees	Milanese	e
-	militie	
-	missie	
-	mode	
Moldavisch	Moldavische	ze
-	molecule	
Moluks	Molukse	e
-	monarchie	
Monegaskisch	Monegaskische	ze
Mongolisch	Mongolische	ze
Monroviaans	Monroviaanse	e
Montenegrijns	Montenegrijnse	ze
Montevideaans	Montevideaanse	e
Montserrataans	Montserrataanse	e
Moravisch	Moravische	e
-	moskee	
Moskous	Moskouse	e
-	motie	
Mozambikaans	Mozambikaanse	e
-	Murle	
Myanmarees	Myanmarese	ze
Naams	Naamse	e
Namibisch	Namibische	e
Napolitaans	Napolitaanse	e
Nassaus	Nassause	e
-	natie	
Nauruaans	Nauruaanse	ze
Nazareens	Nazareense	e
Nederlands	Nederlandse	ze
Nederlandstalig	Nederlandstalige	e
Nepalees	Nepalese	ze
Neurenbergs	Neurenbergse	e
Nicaraguaans	Nicaraguaanse	e
Nieuw-Caledonisch	Nieuw-Caledonische	e
Nieuw-Zeelands	Nieuw-Zeelandse	e
Nigeriaans	Nigeriaanse	ze
Nijmeegs	Nijmeegse	e
-	NN-verdachte	
-	nominatie	
Noord-Amerikaans	Noord-Amerikaanse	e
Noord-Brabants	Noord-Brabantse	e
Noord-Hollands	Noord-Hollandse	e
Noord-Iers	Noord-Ierse	e
Noord-Koreaans	Noord-Koreaanse	e
Noors	Noorse	ze
Normandisch	Normandische	ze
Nubisch	Nubische	e
Oekraïens	Oekraïense	ze
Oezbeeks	Oezbeekse	ze
Omaans	Omaanse	e
Omanees	Omanese	ze
Oost-Vlaams	Oost-Vlaamse	ze
Oostenrijks	Oostenrijkse	e
-	operatie	
-	opname	
Oranjegezind	Oranjegezinde	e
-	Oranjerie	
Oranjestads	Oranjestadse	e
-	organisatie	
Osloos	Oslose	e
Ottawaans	Ottawaanse	e
-	ottomane	
-	Ourthe	
Overijssels	Overijsselse	e
-	overlevende	
-	overname	
Pakistaans	Pakistaanse	e
Palestijns	Palestijnse	e
Panamees	Panamese	ze
Paraguayaans	Paraguayaanse	e
Paramariboos	Paramaribose	e
Parijs	Parijse	e
-	passage	
-	Passage	
Patagonisch	Patagonische	e
Peels	Peelse	e
Pekinees	Pekinese	ze
-	periode	
Peruaans	Peruaanse	e
Perzisch	Perzische	ze
Picardisch	Picardische	ze
Pitcairneilands	Pitcairneilandse	e
-	Plejade	
-	politie	
Polynesisch	Polynesische	e
Pools	Poolse	ze
-	Porsche	
Portugees	Portugese	ze
-	positie	
Praags	Praagse	e
-	premie	
-	presentatie	
-	presentatrice	
Pretoriaans	Pretoriaanse	e
-	procedure	
-	productie	
-	provincie	
Pruisisch	Pruisische	e
Puertoricaans	Puertoricaanse	e
Qatarees	Qatarese	ze
Quiteens	Quiteense	e
-	race	
-	rage	
Rangoons	Rangoonse	e
-	rapportage	
-	reclame	
-	redactie	
-	reductie	
-	registratie	
-	relatie	
-	rente	
-	reparatie	
-	repetitie	
-	resolutie	
-	revolutie	
Reykjaviks	Reykjavikse	e
Roemeens	Roemeense	ze
Romeins	Romeinse	e
-	ronde	
Rotterdams	Rotterdamse	e
-	route	
-	ruimte	
Russisch	Russische	ze
Rwandees	Rwandese	ze
Saint-Luciaans	Saint-Luciaanse	e
Saksisch	Saksische	ze
Sallands	Sallandse	ze
Salvadoraans	Salvadoraanse	e
Samaritaans	Samaritaanse	e
Samoaans	Samoaanse	ze
-	sanctie	
Sanmarinees	Sanmarinese	ze
